Round,Date,Home Team,Home Score,Away Score,Away Team,Venue,Winning Team
10,Sunday 17 April,West Coast Fever,38,54,Melbourne Vixens,"Challenge Stadium, Perth",Melbourne Vixens
10,Sunday 17 April,Southern Steel,33,38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome,Waikato Bay of Plenty Magic
10,Monday 18 April,Canterbury Tactix,45,47,Central Pulse,"CBS Canterbury Arena, Christchurch",Central Pulse
10,Monday 18 April,New South Wales Swifts,53,46,Northern Mystics,"State Sports Centre, Sydney",New South Wales Swifts
11,Thursday 21 April,Southern Steel,39,40,New South Wales Swifts,"Edgar Centre, Dunedin",New South Wales Swifts
11,Saturday 23 April,Melbourne Vixens,58,42,Central Pulse,"Hisense Arena, Melbourne",Melbourne Vixens
11,Sunday 24 April,Adelaide Thunderbirds,36,55,Waikato Bay of Plenty Magic,"ETSA Park, Adelaide",Waikato Bay of Plenty Magic
11,Sunday 24 April,Northern Mystics,62,43,Canterbury Tactix,"Trusts Stadium, Auckland",Northern Mystics
11,Monday 25 April,Queensland Firebirds,56,54,West Coast Fever,Brisbane Convention and Exhibition Centre,Queensland Firebirds
12,Saturday 30 April,Canterbury Tactix,52,69,Queensland Firebirds,"CBS Canterbury Arena, Christchurch",Queensland Firebirds
12,Sunday 1 May,Melbourne Vixens,33,45,New South Wales Swifts,"Hisense Arena, Melbourne",New South Wales Swifts
12,Sunday 1 May,Southern Steel,35,47,Northern Mystics,Invercargill ILT Velodrome,Northern Mystics
12,Monday 2 May,Waikato Bay of Plenty Magic,60,50,Central Pulse,Taupo Events Centre,Waikato Bay of Plenty Magic
12,Monday 2 May,Adelaide Thunderbirds,59,64,West Coast Fever,"ETSA Park, Adelaide",West Coast Fever
13,NO GAME PLAYED,Central Pulse,0,0,Waikato Bay of Plenty Magic,,
13,NO GAME PLAYED,Melbourne Vixens,0,0,New South Wales Swifts,,
13,NO GAME PLAYED,Adelaide Thunderbirds,0,0,West Coast Fever,,
13,NO GAME PLAYED,Northern Mystics,0,0,Southern Steel,,
13,NO GAME PLAYED,Queensland Firebirds,0,0,Canterbury Tactix,,
14,NO GAME PLAYED,Waikato Bay of Plenty Magic,0,0,Adelaide Thunderbirds,,
14,NO GAME PLAYED,West Coast Fever,0,0,Queensland Firebirds,,
14,NO GAME PLAYED,Canterbury Tactix,0,0,Northern Mystics,,
14,NO GAME PLAYED,Central Pulse,0,0,Melbourne Vixens,,
14,NO GAME PLAYED,New South Wales Swifts,0,0,Southern Steel,,
15,Monday 9 May,Queensland Firebirds,50,39,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre,Queensland Firebirds
15,Sunday 8 May,New South Wales Swifts,44,49,Northern Mystics,"State Sports Centre, Sydney",Northern Mystics
16,Sunday 15 May,Waikato Bay of Plenty Magic,42,43,Northern Mystics,"Mystery Creek Events Centre, Hamilton",Northern Mystics
17,Sunday 22 May,Queensland Firebirds,57,44,Northern Mystics,Brisbane Convention & Exhibition Centre,Queensland Firebirds
