Round,Date,Home Team,Home Score,Away Score,Away Team,Venue,Winning Team
6,"Monday 11 May, 7:00 pm",Queensland Firebirds,56,53,West Coast Fever,Brisbane Convention and Exhibition Centre,Queensland Firebirds
6,BYES: Canterbury Tactix and Melbourne Vixens,,,,,,
7,"Saturday 16 May, 2:00 pm",Canterbury Tactix,47,48,Southern Steel,"Westpac Arena, Christchurch",Southern Steel
7,"Sunday 17 May, 12:30 pm",West Coast Fever,49,74,Melbourne Vixens,"Challenge Stadium, Perth",Melbourne Vixens
7,"Monday 18 May, 7:00 pm",Waikato Bay of Plenty Magic,50,35,Northern Mystics,"Energy Events Centre, Rotorua",Waikato Bay of Plenty Magic
7,"Monday 18 May, 7:00 pm",New South Wales Swifts,54,58,Queensland Firebirds,Sydney Olympic Park Sports Centre,Queensland Firebirds
7,BYES: Adelaide Thunderbirds and Central Pulse,,,,,,
8,"Saturday 23 May, 2:00 pm",Canterbury Tactix,49,46,Central Pulse,"Westpac Arena, Christchurch",Canterbury Tactix
8,"Sunday 24 May, 2:00 pm",Adelaide Thunderbirds,51,50,Queensland Firebirds,"ETSA Park, Adelaide",Adelaide Thunderbirds
8,"Monday 25 May, 7:00 pm",Southern Steel,39,48,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill",Waikato Bay of Plenty Magic
8,"Monday 25 May, 7:00 pm",Melbourne Vixens,65,63,New South Wales Swifts,"Hisense Arena, Melbourne",Melbourne Vixens
8,BYES: Northern Mystics and West Coast Fever,,,,,,0
9,"Saturday 30 May, 2:00 pm",Central Pulse,44,66,Southern Steel,"TSB Bank Arena, Wellington",Southern Steel
9,"Sunday 31 May, 2:30 pm",Melbourne Vixens,57,53,Queensland Firebirds,"Hisense Arena, Melbourne",Melbourne Vixens
9,"Monday 1 June, 7:00 pm",Northern Mystics,47,46,Canterbury Tactix,"Trusts Stadium, Auckland",Northern Mystics
9,"Monday 1 June, 6:00 pm",West Coast Fever,41,61,Adelaide Thunderbirds,"Challenge Stadium, Perth",Adelaide Thunderbirds
9,BYES: New South Wales Swifts and Waikato Bay of Plenty Magic,,,,,,0
10,"Saturday 6 June, 2:00 pm",Central Pulse,45,59,Canterbury Tactix,"Te Rauparaha Arena, Porirua",Canterbury Tactix
10,"Saturday 6 June, 1:30 pm",Adelaide Thunderbirds,58,34,Northern Mystics,"Adelaide Arena, Adelaide",Adelaide Thunderbirds
10,"Sunday 7 June, 2:30 pm",Queensland Firebirds,62,61,New South Wales Swifts,Brisbane Convention and Exhibition Centre,Queensland Firebirds
10,"Monday 8 June, 7:00 pm",Waikato Bay of Plenty Magic,55,48,Melbourne Vixens,"Queen Elizabeth Youth Centre, Tauranga",Waikato Bay of Plenty Magic
10,"Monday 8 June, 5:00 pm",West Coast Fever,59,48,Southern Steel,"Challenge Stadium, Perth",West Coast Fever
11,"Saturday 13 June, 2:00 pm",Canterbury Tactix,53,46,Queensland Firebirds,"Westpac Arena, Christchurch",Canterbury Tactix
11,"Sunday 14 June, 2:00 pm",Adelaide Thunderbirds,58,39,West Coast Fever,"ETSA Park, Adelaide",Adelaide Thunderbirds
11,"Sunday 14 June, 6:30 pm",Central Pulse,35,67,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington",Waikato Bay of Plenty Magic
11,"Monday 15 June, 7:00 pm",Southern Steel,52,50,Northern Mystics,"Stadium Southland, Invercargill",Southern Steel
11,"Monday 15 June, 7:00 pm",New South Wales Swifts,52,63,Melbourne Vixens,Sydney Olympic Park Sports Centre,Melbourne Vixens
12,"Saturday 20 June, 2:00 pm",Northern Mystics,57,61,Melbourne Vixens,"Trusts Stadium, Auckland",Melbourne Vixens
12,"Saturday 20 June, 1:30 pm",Adelaide Thunderbirds,70,40,Central Pulse,"ETSA Park, Adelaide",Adelaide Thunderbirds
12,"Sunday 21 June, 2:30 pm",New South Wales Swifts,60,63,West Coast Fever,Sydney Olympic Park Sports Centre,West Coast Fever
12,"Monday 22 June, 7:00 pm",Waikato Bay of Plenty Magic,50,46,Canterbury Tactix,"Energy Events Centre, Rotorua",Waikato Bay of Plenty Magic
12,"Monday 22 June, 7:00 pm",Queensland Firebirds,52,50,Southern Steel,Brisbane Convention and Exhibition Centre,Queensland Firebirds
13,"Saturday 27 June, 2:00 pm",Northern Mystics,57,59,Queensland Firebirds,"Trusts Stadium, Auckland",Queensland Firebirds
13,"Sunday 28 June, 12:30 pm",West Coast Fever,38,49,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth",Waikato Bay of Plenty Magic
13,"Sunday 28 June, 6:30 pm",Central Pulse,53,52,New South Wales Swifts,"Te Rauparaha Arena, Porirua",Central Pulse
13,"Monday 29 June, 7:00 pm",Southern Steel,58,49,Adelaide Thunderbirds,"The Edgar Centre, Dunedin",Southern Steel
13,"Monday 29 June, 7:00 pm",Melbourne Vixens,63,35,Canterbury Tactix,"Hisense Arena, Melbourne",Melbourne Vixens
14,"Saturday 4 July, 2:00 pm",Southern Steel,55,48,New South Wales Swifts,"Stadium Southland, Invercargill",Southern Steel
14,"Saturday 4 July, 2:00 pm",Melbourne Vixens,80,39,Central Pulse,"Hisense Arena, Melbourne",Melbourne Vixens
14,"Sunday 5 July, 2:00 pm",Adelaide Thunderbirds,54,35,Waikato Bay of Plenty Magic,"Adelaide Arena, Adelaide",Adelaide Thunderbirds
14,"Monday 6 July, 7:00 pm",Canterbury Tactix,63,56,Northern Mystics,"Westpac Arena, Christchurch",Canterbury Tactix
14,"Monday 6 July, 6:00 pm",West Coast Fever,52,54,Queensland Firebirds,"Challenge Stadium, Perth",Queensland Firebirds
15,"Sunday 12 July, 2:30 pm",Melbourne Vixens,58,43,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne",Melbourne Vixens
15,"Monday 13 July, 6:30 pm",Adelaide Thunderbirds,51,45,Southern Steel,"ETSA Park, Adelaide",Adelaide Thunderbirds
16,"Sunday 19 July, 7:00 pm",Waikato Bay of Plenty Magic,37,51,Adelaide Thunderbirds,"Mystery Creek Events Centre, Hamilton",Adelaide Thunderbirds
17,"Sunday 26 July, 2:30 pm",Melbourne Vixens,54,46,Adelaide Thunderbirds,"Hisense Arena, Melbourne",Melbourne Vixens
