Round,Date,Home Team,Home Score,Away Score,Away Team,Venue,Winning Team
1,"Saturday 4 April, 2:00 pm",Southern Steel,55,46,Central Pulse,"Stadium Southland, Invercargill",Southern Steel
1,"Saturday 4 April, 2:00 pm",Melbourne Vixens,57,44,West Coast Fever,"State Netball and Hockey Centre, Melbourne",Melbourne Vixens
1,"Sunday 5 April, 2:30 pm",Queensland Firebirds,48,60,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,Adelaide Thunderbirds
1,"Monday 6 April, 7:00 pm",Northern Mystics,38,51,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland",Waikato Bay of Plenty Magic
1,"Monday 6 April, 7:00 pm",New South Wales Swifts,62,45,Canterbury Tactix,Sydney Olympic Park Sports Centre,New South Wales Swifts
2,"Saturday 11 April, 2:00 pm",Waikato Bay of Plenty Magic,54,47,Southern Steel,"Queen Elizabeth Youth Centre, Tauranga",Waikato Bay of Plenty Magic
2,"Sunday 12 April, 2:00 pm",Adelaide Thunderbirds,48,47,New South Wales Swifts,"ETSA Park, Adelaide",Adelaide Thunderbirds
2,"Sunday 12 April, 6:30 pm",Northern Mystics,54,50,Central Pulse,"North Shore Events Centre, Auckland",Northern Mystics
2,"Monday 13 April, 7:00 pm",Canterbury Tactix,52,44,West Coast Fever,"Westpac Arena, Christchurch",Canterbury Tactix
2,"Monday 13 April, 7:00 pm",Queensland Firebirds,51,54,Melbourne Vixens,Brisbane Convention and Exhibition Centre,Melbourne Vixens
3,"Saturday 18 April, 2:00 pm",Central Pulse,46,58,Queensland Firebirds,"TSB Bank Arena, Wellington",Queensland Firebirds
3,"Sunday 19 April, 2:00 pm",Adelaide Thunderbirds,43,49,Melbourne Vixens,"ETSA Park, Adelaide",Melbourne Vixens
3,"Sunday 19 April, 6:30 pm",Southern Steel,52,48,Canterbury Tactix,"The Edgar Centre, Dunedin",Southern Steel
3,"Monday 20 April, 7:00 pm",Waikato Bay of Plenty Magic,63,45,New South Wales Swifts,"Mystery Creek Events Centre, Hamilton",Waikato Bay of Plenty Magic
3,"Monday 20 April, 5:00 pm",West Coast Fever,57,46,Northern Mystics,"Challenge Stadium, Perth",West Coast Fever
4,"Saturday 25 April, 2:00 pm",Central Pulse,54,60,West Coast Fever,"Arena Manawatu, Palmerston North",West Coast Fever
4,"Saturday 25 April, 2:00 pm",Melbourne Vixens,48,31,Southern Steel,"State Netball and Hockey Centre, Melbourne",Melbourne Vixens
4,"Sunday 26 April, 2:30 pm",Queensland Firebirds,53,42,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre,Queensland Firebirds
4,"Monday 27 April, 7:00 pm",Canterbury Tactix,48,53,Adelaide Thunderbirds,"Westpac Arena, Christchurch",Adelaide Thunderbirds
4,"Monday 27 April, 7:00 pm",New South Wales Swifts,59,55,Northern Mystics,Sydney Olympic Park Sports Centre,New South Wales Swifts
5,"Saturday 2 May, 2:00 pm",Canterbury Tactix,48,50,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch",Waikato Bay of Plenty Magic
5,"Sunday 3 May, 2:30 pm",Melbourne Vixens,50,42,Adelaide Thunderbirds,"Hisense Arena, Melbourne",Melbourne Vixens
5,"Monday 4 May, 7:00 pm",Central Pulse,60,61,Northern Mystics,"TSB Bank Arena, Wellington",Northern Mystics
5,"Monday 4 May, 6:00 pm",West Coast Fever,67,66,New South Wales Swifts,"Challenge Stadium, Perth",West Coast Fever
5,BYES: Queensland Firebirds and Southern Steel,,,,,,
6,"Saturday 9 May, 2:00 pm",Waikato Bay of Plenty Magic,59,36,Central Pulse,"Mystery Creek Events Centre, Hamilton",Waikato Bay of Plenty Magic
6,"Sunday 10 May, 2:30 pm",New South Wales Swifts,40,51,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,Adelaide Thunderbirds
6,"Monday 11 May, 7:00 pm",Northern Mystics,52,61,Southern Steel,"Trusts Stadium, Auckland",Southern Steel
